Feature,Importance
How many cigarettes do you smoke each day?,0.21310114519984086
How soon after you wake up do you smoke your first cigarette?,0.15265612549526347
"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",0.03989764585139681
What is the highest level of education you have attained?,0.03775231420575634
"I see myself as someone who is critical, quarrelsome:",0.0335669876138108
How old are you?,0.030522812121098534
How old were you the first time you smoked a full cigarette (not just a few puffs)?,0.02928994227708557
Do you smoke more frequently during the first hours after waking up than during the rest of the day?,0.028960233159661352
"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",0.027760905239241556
"I see myself as someone who is disorganized, careless:",0.026224055262511883
Do you smoke if you are so ill that you are in bed most of the day?,0.02359147335554262
How often do you feel stressed?,0.022975812907383916
Which cigarette would you mostly hate to give up?,0.021938114957889467
"I see myself as someone who is conventional, uncreative:",0.021637776943441087
"I see myself as someone who is sympathetic, warm:",0.020417478717371776
"I see myself as someone who is reserved, quiet:",0.019107290975547395
To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,0.018622684715881032
"I see myself as someone who is anxious, easily upset:",0.018487671976187885
Which governerate do you live in or spend most of your time in?,0.017080750042858597
"I see myself as someone who is calm, emotionally stable:",0.01675166716454055
How would you describe your current income sufficiency?,0.016316438681398506
"Including yourself, how many people currently live in your household?",0.016127311838758197
"I see myself as someone who is extraverted, enthusiastic:",0.015972320650196794
What type of income or financial support does your household receive?,0.015937506973762446
Gender:,0.014619833401952264
"I see myself as someone who is dependable, self-disciplined:",0.014431635697578559
What is your current employment status?,0.01335082483395649
"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",0.013089138704072937
What is your main source of income?,0.012001813764314638
How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,0.010344419845335288
I see myself as someone who is open to new experiences:,0.010289912258318502
How often do you exercise?,0.006538561040512825
Are you currently able to afford your favorite or preferred cigarette brand(s)?,0.0055972781364851615
What is your current marital status?,0.005410366571494739
Sector,0.004335038496129496
Employment Status,0.003858028940241362
Do you have close friends?,0.0014366819831801113
