Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,How soon after you wake up do you smoke your first cigarette?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,Cluster,PCA1,PCA2
0,0,0,0,6,2,-0.836796165381099,-1.1826428910661115
0,0,0,0,3,2,-0.5195210919394376,-0.6905783927996588
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,1,1,5,2,-0.285959859423838,-0.06020057579693487
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,1,2,12,1,-1.2277985701755323,-0.2837598232577249
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,0,1,15,0,-0.6440640490844322,-1.6548410576474617
0,1,2,0,1,3,2.3312994747601876,-0.21547217952609626
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,1,3,3,8,3,1.6330085060973831,1.4439806373544055
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,1,1,5,0,1.0601276832522974,0.019203503926806764
0,0,1,0,6,2,-0.19018801118324108,-1.148813323713352
0,1,0,2,11,0,-0.42256082388336746,-0.07416381146459197
0,1,0,0,8,0,0.2977746616672622,-1.4312818101866716
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,0,0,6,2,-0.836796165381099,-1.1826428910661115
0,0,0,2,15,1,-2.191681797815052,-0.8096538888769371
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,1,0,2,4,0,0.3177476808138427,1.0739866844904644
0,0,0,2,12,1,-1.87440672437339,-0.31758939061048447
0,1,0,1,3,0,0.6250362446822139,0.3134169354183491
0,0,0,0,8,2,-1.0483128810088733,-1.5106858899104132
0,0,0,2,10,1,-1.6628900087456155,0.01045360823381737
0,1,2,1,8,3,1.3894607640084935,-0.4390314269868864
0,0,0,2,14,1,-2.0859234400011646,-0.6456323894547862
0,0,0,0,6,2,-0.836796165381099,-1.1826428910661115
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
